edu,edu_yr,political,property_8,weight_jin,health,health_problem,depression,hukou,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_3,leisure_4,leisure_6,leisure_7,leisure_8,leisure_9,leisure_12,socialize,relax,learn,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,family_income,family_m,family_status,house,car,invest_1,invest_2,s_birth,marital_now,s_edu,s_political,s_hukou,status_peer,status_3_before,view,trust_1,trust_2,trust_5,trust_7,trust_8,trust_10,trust_12,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,income_cut,happiness
1,-2.0,1,0,65,1,-8,-8,1,1,1,1,1,1,1,5,5,5,5,4,5,5,5,3,1,1,3.0,1,5,2,1,3,-8,30000.0,4,3,1,2,1,0,1936.0,1960.0,1.0,1.0,1.0,3,2,3,4,2,3,3,3,3,-8,5,-2,80,70,-2,-2.0,-2,80,-2,80,1,4
4,1998.0,1,0,185,4,5,3,1,2,2,2,5,5,1,2,4,4,5,5,1,5,1,3,4,1,7.0,1,4,6,3,-8,5,50000.0,5,3,1,2,1,0,1987.0,2013.0,4.0,1.0,1.0,2,1,5,4,2,4,2,4,2,2,5,100,100,100,100,60.0,100,100,60,-2,5,4
4,1989.0,2,0,120,2,3,3,1,2,2,2,4,4,3,1,4,4,3,4,2,4,2,2,4,2,3.0,1,2,5,4,6,3,36000.0,3,3,1,2,1,0,1977.0,2000.0,5.0,1.0,2.0,2,2,3,3,3,5,2,3,3,3,2,80,70,70,80,70.0,60,70,80,80,1,4
6,1979.0,1,0,90,2,2,3,1,2,2,3,5,1,1,1,3,4,3,3,5,4,5,3,4,2,2.0,2,2,1,1,1,1,20000.0,1,3,1,2,1,0,1960.0,1985.0,4.0,1.0,1.0,2,1,4,4,4,4,4,4,4,4,5,50,50,50,50,50.0,50,30,40,50,1,4
7,1998.0,1,0,135,5,5,5,4,4,4,4,4,4,4,2,2,3,3,2,2,3,2,3,3,3,4.0,4,4,6,6,5,4,200000.0,5,3,1,1,0,1,1980.0,2006.0,7.0,1.0,5.0,2,2,3,4,3,3,4,4,3,4,4,80,70,70,70,70.0,70,70,70,70,5,4
4,1981.0,4,0,160,5,5,5,2,4,2,5,4,4,4,1,3,1,3,3,1,1,1,4,4,4,3.0,3,4,6,5,6,3,100000.0,4,3,2,1,1,0,1963.0,1986.0,4.0,1.0,2.0,2,1,3,4,4,5,4,5,4,5,5,60,50,40,50,50.0,80,80,80,80,5,5
4,1967.0,1,0,130,2,2,3,2,2,2,2,5,1,1,1,4,4,5,5,2,1,5,3,4,1,5.0,1,2,3,3,3,3,80000.0,5,2,1,2,1,0,1953.0,1976.0,4.0,1.0,2.0,2,2,5,2,1,5,2,3,5,-8,4,50,50,60,50,60.0,60,50,50,50,4,4
1,-2.0,1,0,120,1,2,2,1,1,1,1,4,1,1,1,3,5,3,5,5,5,5,2,3,1,7.0,2,4,1,1,4,1,20000.0,6,3,1,1,1,0,1949.0,1970.0,3.0,1.0,1.0,3,3,4,4,4,4,4,-8,-8,-8,5,100,100,100,100,100.0,100,100,100,100,2,5
3,1992.0,1,0,90,4,4,3,1,1,1,1,2,1,1,2,2,5,3,3,4,5,5,4,3,1,2.0,1,4,5,4,6,1,40000.0,5,2,1,2,1,0,1982.0,2003.0,4.0,1.0,1.0,2,2,4,5,4,4,3,5,3,-8,3,60,70,50,50,60.0,40,60,40,70,2,4
6,1979.0,1,0,65,4,5,5,2,2,2,4,4,4,1,1,4,1,3,2,4,5,1,2,4,4,2.0,3,1,4,4,6,2,90000.0,3,3,1,2,1,0,1938.0,1960.0,6.0,4.0,5.0,2,2,4,2,2,5,2,2,-8,-8,2,80,80,60,80,60.0,50,80,60,90,0,4
4,1984.0,1,0,100,4,4,4,2,2,1,2,3,2,1,2,2,2,3,3,3,5,2,3,3,3,2.0,2,4,3,3,3,2,60000.0,2,2,1,2,1,0,1967.0,1993.0,4.0,1.0,2.0,2,2,3,4,4,4,4,4,4,4,2,85,85,89,89,89.0,89,89,89,89,3,4
4,1984.0,1,0,126,4,5,3,1,3,3,1,5,1,1,1,1,2,3,3,2,2,5,3,4,2,3.0,1,4,6,8,4,3,100000.0,1,3,2,2,0,0,1968.0,1968.0,6.0,1.0,1.0,2,2,4,4,4,3,2,3,3,1,3,80,67,-2,40,30.0,40,-2,60,-2,3,5
4,1979.0,1,0,140,3,3,3,2,3,3,1,4,3,3,1,3,4,3,4,2,4,3,3,3,1,5.0,6,4,5,3,5,3,20000.0,2,2,1,2,1,0,1962.0,1985.0,5.0,4.0,2.0,3,1,4,3,3,4,3,3,3,3,3,80,80,80,80,80.0,80,80,80,80,2,4
10,2013.0,2,1,135,4,4,3,1,1,2,3,3,5,5,4,4,3,4,2,1,2,2,4,4,4,2.0,6,2,4,1,7,3,40000.0,1,2,0,2,1,0,0.0,0.0,0.0,0.0,0.0,2,1,2,2,2,4,2,2,2,2,2,60,40,40,40,50.0,40,60,80,70,5,3
1,-2.0,1,0,110,2,2,3,1,1,1,3,1,1,1,3,3,5,5,4,5,5,5,4,4,1,2.0,3,4,4,3,6,3,40000.0,2,2,1,2,1,0,1954.0,1976.0,1.0,1.0,1.0,3,1,4,5,4,5,4,-8,3,3,5,80,79,89,78,80.0,68,80,80,79,2,5
11,-2.0,1,0,146,4,4,3,2,1,1,2,5,5,1,1,1,5,4,3,2,4,1,2,3,3,6.0,2,4,6,4,8,-8,170000.0,2,3,1,1,0,1,1987.0,2012.0,10.0,1.0,2.0,2,1,3,4,3,4,3,5,3,3,4,50,60,50,60,50.0,60,50,60,70,5,4
4,1980.0,1,0,100,4,4,4,2,2,2,2,4,1,1,1,4,4,4,4,4,3,5,2,2,2,4.0,2,4,5,3,7,3,40000.0,2,4,1,2,1,0,1963.0,1984.0,4.0,1.0,2.0,2,1,4,4,3,5,3,3,-8,3,3,60,60,70,70,60.0,70,60,70,60,3,4
12,1958.0,1,0,120,2,2,2,2,2,2,1,2,1,1,1,4,4,4,4,5,4,5,1,5,1,8.0,1,4,10,10,10,5,150000.0,3,4,1,2,0,0,1928.0,1947.0,3.0,1.0,2.0,1,2,3,4,4,4,4,4,4,4,5,90,85,70,70,70.0,80,80,85,90,5,4
1,-2.0,4,0,80,2,3,3,1,1,1,4,1,1,1,4,5,5,4,4,1,4,5,2,3,1,7.0,1,4,4,5,-8,3,10000.0,2,2,1,2,1,0,1941.0,1963.0,4.0,1.0,1.0,3,2,3,4,4,4,3,-8,-8,-8,5,70,80,80,80,80.0,80,70,80,80,1,4
4,1972.0,1,1,150,4,3,3,1,2,2,2,5,1,1,4,4,5,4,4,4,5,5,3,4,1,5.0,6,4,2,2,3,-8,30000.0,1,3,1,2,1,0,1957.0,1982.0,4.0,1.0,1.0,2,2,3,5,4,4,3,5,4,-8,3,40,20,20,50,0.0,30,40,60,30,3,4
-8,-3.0,1,0,105,5,4,4,2,3,3,4,3,3,4,2,3,2,3,2,3,3,2,3,3,3,3.0,2,2,6,5,6,3,80000.0,2,4,1,2,0,0,1961.0,1993.0,9.0,1.0,2.0,2,2,4,4,4,4,3,3,4,4,4,80,88,80,80,80.0,70,70,80,98,5,4
10,1991.0,1,0,120,4,5,5,5,1,1,1,2,4,1,4,3,4,2,2,1,1,1,4,4,3,2.0,2,4,8,5,8,3,-3.0,4,3,1,1,1,0,1972.0,1996.0,3.0,1.0,1.0,2,1,4,4,5,5,5,3,3,4,2,80,80,90,80,70.0,80,80,90,60,0,5
3,-2.0,1,0,105,5,4,4,5,4,3,2,5,1,4,2,3,2,3,3,3,4,5,2,4,4,5.0,2,4,4,1,2,1,35000.0,2,3,1,2,1,0,1957.0,1981.0,6.0,1.0,4.0,2,1,4,4,4,5,4,4,4,4,4,80,80,80,80,70.0,80,80,80,80,3,4
4,1989.0,1,0,120,4,3,3,1,3,3,2,4,2,2,1,3,4,3,3,3,3,5,3,3,3,3.0,1,4,6,6,6,6,35000.0,4,3,1,2,1,0,1968.0,1993.0,6.0,1.0,2.0,2,2,3,5,5,5,5,5,5,4,5,70,70,70,70,70.0,70,70,70,70,3,4
4,1978.0,1,0,122,3,3,3,1,1,3,1,5,1,4,1,3,4,4,5,2,5,5,3,3,2,7.0,4,4,4,2,5,1,10000.0,2,2,1,2,1,0,0.0,0.0,0.0,0.0,0.0,2,3,3,3,2,4,2,2,3,4,5,85,90,70,70,70.0,70,85,90,90,2,4
4,1985.0,1,0,115,3,3,4,1,2,2,1,5,3,1,1,2,3,4,2,5,5,3,4,5,1,2.0,2,4,4,3,4,3,30000.0,4,2,1,2,1,0,1969.0,1994.0,6.0,1.0,1.0,2,2,4,4,4,4,2,4,-8,-8,4,70,60,70,70,80.0,50,70,70,70,3,4
4,-2.0,1,0,115,3,5,5,2,1,1,3,5,3,1,1,3,5,3,3,2,1,2,1,5,1,8.0,1,1,5,5,7,5,20000.0,4,2,1,2,1,0,1984.0,-2.0,6.0,1.0,2.0,2,1,3,3,3,3,3,4,3,4,4,100,60,100,100,100.0,100,100,100,100,2,5
6,2015.0,2,0,112,5,5,5,1,1,2,2,4,5,1,1,2,4,4,3,1,2,1,4,4,3,3.0,1,1,4,4,9,7,60000.0,4,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,2,2,2,3,3,4,2,3,3,3,2,80,80,60,70,60.0,80,80,90,90,1,5
12,2012.0,2,0,120,4,3,3,2,3,3,2,4,5,2,1,3,2,4,4,1,2,1,3,3,4,5.0,6,3,3,2,5,3,70000.0,4,3,1,2,1,0,0.0,0.0,0.0,0.0,0.0,2,2,3,4,3,5,1,4,3,4,4,70,70,65,65,50.0,80,80,75,80,2,4
4,2009.0,2,0,125,5,5,4,1,2,2,1,3,5,4,1,3,4,4,2,4,3,1,3,3,4,6.0,1,4,3,2,9,2,80000.0,3,2,1,2,0,0,0.0,0.0,0.0,0.0,0.0,3,1,2,4,2,4,2,3,4,3,2,90,80,70,50,70.0,80,60,70,70,5,4
1,-2.0,1,0,125,4,4,4,1,1,1,1,5,1,1,1,4,5,3,3,5,3,5,4,4,2,2.0,3,4,5,5,5,6,10000.0,3,3,1,2,1,0,1955.0,1978.0,1.0,1.0,1.0,2,2,3,5,5,5,5,4,3,3,5,100,100,100,90,90.0,80,80,95,100,2,4
3,1963.0,1,0,125,5,5,5,1,3,2,4,5,1,1,1,5,2,4,5,2,2,5,2,3,3,7.0,1,4,4,3,5,3,110000.0,5,3,1,2,1,0,1952.0,1976.0,3.0,1.0,1.0,1,1,4,5,5,5,4,4,4,4,5,80,80,80,80,80.0,100,70,80,100,3,5
4,1978.0,1,0,130,5,4,4,2,2,2,2,4,1,1,2,3,5,4,4,5,5,5,2,3,2,3.0,1,1,5,5,5,2,30000.0,2,3,1,2,1,0,1961.0,1984.0,6.0,2.0,2.0,2,2,3,3,-8,3,2,3,2,3,5,60,60,-2,60,20.0,80,80,70,80,3,3
1,-2.0,1,0,100,4,4,5,5,4,1,1,4,1,1,1,5,1,5,5,5,5,5,4,5,1,1.0,1,4,5,-8,5,-8,-2.0,2,3,10,2,1,0,0.0,0.0,0.0,0.0,0.0,3,1,4,4,2,5,1,-8,-8,-8,4,90,88,-2,90,-2.0,90,90,-2,-2,5,4
4,1998.0,1,0,170,4,5,4,1,1,1,1,2,5,1,4,5,5,5,5,1,5,1,1,4,1,8.0,1,5,1,1,4,1,60000.0,3,3,1,2,1,0,1985.0,2007.0,4.0,1.0,1.0,2,2,4,5,5,5,5,5,4,5,3,100,80,100,80,90.0,80,70,70,70,4,5
6,2013.0,2,1,120,4,4,4,2,1,3,1,1,5,1,5,5,1,4,5,1,1,1,4,5,5,3.0,1,-8,10,10,10,10,-2.0,3,5,-2,1,0,1,0.0,0.0,0.0,0.0,0.0,1,2,-8,3,3,4,-8,5,3,5,4,-2,-2,-2,-2,-2.0,-2,-2,-2,-2,1,5
10,-2.0,1,0,150,4,5,5,2,2,2,1,3,3,1,2,2,3,3,2,2,2,1,2,3,3,3.0,1,4,5,3,6,3,100000.0,5,4,1,1,1,0,1985.0,2009.0,10.0,1.0,2.0,2,1,3,4,3,4,3,4,3,-8,4,50,60,50,60,40.0,60,70,60,70,5,4
4,1961.0,1,0,140,3,4,5,2,1,1,1,4,1,1,1,3,5,5,5,5,5,5,1,5,1,8.0,1,3,5,2,-8,6,30000.0,2,3,1,2,1,0,1943.0,-2.0,4.0,1.0,2.0,3,1,-8,3,3,5,3,4,-8,-8,2,50,50,-2,-2,-2.0,-2,-2,-2,-2,3,4
4,1966.0,1,0,160,3,5,5,2,1,1,5,5,4,1,1,4,5,4,4,2,2,2,2,4,2,5.0,2,3,5,6,4,5,600000.0,2,3,1,2,1,0,1952.0,1974.0,4.0,1.0,2.0,2,2,5,2,2,3,3,4,2,-8,4,100,100,100,100,100.0,100,100,100,100,4,4
10,1982.0,4,0,130,4,4,4,2,3,3,3,4,1,1,1,4,2,4,4,4,1,5,1,4,2,8.0,1,3,6,4,5,2,63600.0,2,3,1,2,1,0,1952.0,1982.0,8.0,1.0,2.0,1,1,4,4,3,4,3,3,4,-8,3,90,90,80,90,90.0,80,70,80,90,6,4
4,1981.0,1,0,125,4,5,5,1,1,1,3,5,1,1,1,2,4,4,1,1,4,5,5,5,1,3.0,1,2,6,4,7,3,75000.0,1,3,1,2,1,0,1967.0,1989.0,4.0,1.0,1.0,2,2,3,5,4,5,4,4,3,4,5,60,50,50,70,50.0,60,60,60,60,2,4
3,1995.0,1,0,130,2,3,3,1,1,1,1,4,3,3,2,4,5,5,5,5,4,4,1,4,2,8.0,1,3,3,1,3,2,5000.0,3,2,1,2,1,0,1987.0,1998.0,1.0,1.0,1.0,3,1,3,2,2,5,2,2,2,2,5,100,100,80,100,90.0,100,100,70,80,2,4
4,1985.0,4,0,175,5,5,5,1,2,2,1,5,1,3,1,3,3,4,3,3,3,5,4,3,3,3.0,1,2,5,5,7,2,50000.0,5,2,1,2,1,0,1968.0,1992.0,3.0,1.0,1.0,2,2,4,4,3,5,3,3,3,3,5,50,25,0,45,15.0,55,55,0,55,4,4
6,2012.0,4,0,120,5,5,5,6,1,1,1,2,4,4,4,4,4,4,4,4,4,2,2,2,2,6.0,-8,4,5,5,9,5,1000000.0,3,4,30,1,1,0,0.0,0.0,0.0,0.0,0.0,2,2,4,4,4,4,3,3,3,3,5,100,100,100,100,100.0,100,100,100,100,2,4
8,1981.0,1,0,154,4,5,5,5,5,2,3,4,1,2,1,4,1,4,4,3,5,1,2,3,2,6.0,1,2,5,7,-8,5,10000.0,3,2,1,1,1,0,1986.0,1962.0,8.0,1.0,5.0,2,2,5,3,3,4,2,3,4,4,3,60,60,60,60,50.0,60,70,70,60,2,3
6,1966.0,1,0,122,2,5,2,2,4,4,2,5,5,1,1,4,2,4,4,3,5,2,3,4,4,6.0,6,4,4,4,4,2,90000.0,2,3,2,2,0,0,1938.0,1966.0,12.0,4.0,2.0,2,2,3,5,5,5,5,5,-8,5,4,80,80,80,80,80.0,80,80,80,80,4,4
1,-2.0,1,0,118,3,3,3,1,1,1,1,3,1,1,1,1,1,5,4,5,5,5,2,3,1,4.0,2,3,4,5,6,4,20000.0,2,3,1,2,1,0,1952.0,1969.0,1.0,1.0,1.0,3,2,3,5,4,5,-8,-8,-8,-8,5,80,90,80,70,80.0,80,90,90,70,3,3
3,1948.0,1,0,100,1,5,1,1,1,1,1,5,1,1,1,1,5,4,5,5,5,5,4,4,1,6.0,1,5,10,1,10,1,21320.0,2,3,1,2,1,0,1938.0,1959.0,4.0,1.0,1.0,2,2,5,5,5,5,1,5,5,-8,1,100,100,100,100,100.0,100,100,100,100,3,1
6,2000.0,1,1,120,3,4,4,5,2,2,2,4,2,4,1,3,2,3,3,4,5,1,3,3,3,3.0,3,4,4,1,7,2,0.0,4,3,1,2,1,0,1984.0,2007.0,4.0,1.0,4.0,3,2,3,4,3,4,3,4,4,3,3,70,60,60,70,70.0,70,80,70,70,1,4
4,1978.0,1,0,110,3,2,3,1,1,1,2,4,1,1,1,5,5,3,3,5,4,5,4,4,1,3.0,6,4,5,1,6,6,20000.0,1,1,1,2,1,0,0.0,0.0,0.0,0.0,0.0,2,3,5,5,5,5,4,4,4,-8,5,100,90,90,90,90.0,100,100,90,80,3,4
12,-1.0,2,0,140,4,5,4,1,2,3,3,3,4,4,3,4,4,4,4,4,4,1,3,2,2,5.0,2,4,4,3,5,3,20000.0,4,3,1,2,1,0,0.0,0.0,0.0,0.0,0.0,2,2,4,4,4,5,4,5,4,-8,4,85,85,85,85,85.0,85,85,85,85,1,4
1,-2.0,1,0,124,5,5,5,1,1,1,1,4,1,1,1,4,5,3,3,3,3,5,2,3,2,3.0,1,2,5,4,5,4,50000.0,3,3,2,2,1,0,1969.0,1988.0,3.0,1.0,1.0,2,2,4,3,3,4,3,3,3,3,4,80,80,80,80,80.0,80,50,80,80,1,4
7,1976.0,1,0,130,3,4,5,2,2,2,4,4,5,1,1,2,5,4,4,1,1,1,2,3,1,6.0,1,1,4,3,4,1,80000.0,2,-8,1,2,1,0,1953.0,1981.0,4.0,4.0,2.0,2,1,-8,4,3,5,3,2,2,2,4,75,90,60,-2,95.0,90,-2,90,-2,5,5
10,1971.0,1,0,98,4,4,4,5,2,2,3,4,3,2,2,4,4,4,4,4,1,4,2,3,2,5.0,2,4,3,4,3,2,91200.0,1,3,1,2,1,0,1941.0,1970.0,6.0,1.0,5.0,2,2,4,4,2,3,3,4,3,3,3,90,90,90,90,90.0,90,90,90,90,5,5
4,-2.0,-8,0,100,4,4,4,1,3,3,3,4,1,1,2,2,3,3,2,2,3,5,2,3,2,5.0,2,4,6,4,8,3,85000.0,4,3,2,1,1,0,1966.0,1988.0,4.0,1.0,1.0,2,1,3,5,5,5,2,4,4,4,5,100,100,100,100,90.0,90,65,65,80,2,4
12,1994.0,1,0,150,5,5,5,4,1,1,1,3,5,1,2,5,5,4,3,5,3,1,3,4,4,3.0,5,4,6,4,7,3,250000.0,5,4,-3,1,0,1,1974.0,2002.0,13.0,4.0,2.0,2,2,4,4,4,5,3,4,5,5,4,60,40,60,60,70.0,60,60,40,50,5,4
4,-2.0,1,0,125,3,4,4,2,3,2,2,4,1,1,2,4,3,4,4,4,4,5,2,3,2,5.0,2,1,4,3,4,3,-3.0,3,2,1,2,1,0,1970.0,1993.0,4.0,1.0,1.0,3,2,4,4,4,4,3,3,-8,-8,4,44,45,45,43,30.0,37,30,50,38,0,3
3,-2.0,1,0,130,2,2,2,1,4,4,4,5,2,1,1,3,1,4,3,5,1,4,4,4,5,2.0,4,3,4,5,6,9,200000.0,3,3,1,2,1,0,1970.0,1993.0,3.0,1.0,2.0,2,2,5,5,-8,5,2,5,3,3,5,90,60,40,70,70.0,80,90,90,90,5,5
4,-2.0,2,1,140,4,4,4,4,3,3,1,5,1,1,1,4,4,4,4,5,4,5,2,3,3,6.0,2,4,4,3,3,2,40000.0,2,3,0,2,1,0,1953.0,1972.0,1.0,1.0,1.0,1,1,4,5,2,5,2,5,2,5,5,100,70,90,90,60.0,70,80,90,80,5,4
4,1995.0,1,0,130,4,3,3,1,2,2,1,3,1,1,2,1,4,3,3,5,5,5,3,4,1,5.0,1,2,3,2,-8,1,20000.0,5,2,1,2,1,0,1978.0,2009.0,3.0,1.0,1.0,3,2,4,5,2,4,2,4,-8,-8,5,70,80,20,30,10.0,70,70,10,50,2,3
8,2005.0,1,1,135,4,4,5,1,2,2,2,4,5,2,1,3,4,4,4,4,5,1,2,4,2,2.0,3,2,6,2,8,4,120000.0,3,3,1,2,1,0,1990.0,2011.0,4.0,1.0,1.0,2,1,3,3,3,5,3,3,2,-8,3,70,80,80,60,70.0,70,70,70,70,5,4
3,1960.0,1,0,120,4,4,4,1,1,1,1,3,1,1,2,5,5,5,5,5,5,5,3,2,1,3.0,1,2,5,5,5,5,3000.0,1,3,1,2,1,0,0.0,0.0,0.0,0.0,0.0,2,2,4,2,2,2,2,3,3,3,4,70,70,70,70,70.0,70,70,70,70,2,4
4,1992.0,1,0,105,2,2,3,2,2,2,4,5,1,1,1,2,5,4,4,2,5,5,2,2,1,5.0,1,4,1,1,2,1,5000.0,3,1,0,2,1,0,1973.0,1997.0,4.0,1.0,2.0,3,1,4,4,4,4,4,4,-8,4,5,80,80,70,70,0.0,60,70,80,50,2,3
10,2014.0,1,0,95,4,4,4,1,2,3,2,3,5,2,2,3,3,3,2,2,2,1,4,4,4,2.0,3,4,4,2,6,3,10000.0,4,3,2,2,1,0,0.0,0.0,0.0,0.0,0.0,2,1,3,4,4,5,2,4,4,4,3,90,70,60,80,60.0,70,85,90,70,4,4
4,1970.0,4,0,110,4,4,3,1,4,4,4,5,1,1,1,3,2,4,4,4,1,5,2,4,4,5.0,2,3,7,6,8,3,40000.0,2,3,1,2,1,0,1955.0,1978.0,3.0,1.0,1.0,2,1,4,4,3,4,4,4,4,4,4,70,75,65,60,70.0,65,80,75,70,3,5
6,1976.0,1,0,90,1,2,2,1,1,1,1,1,1,1,5,5,5,4,4,5,5,5,1,3,1,8.0,1,2,3,5,-8,5,10000.0,2,1,1,2,1,0,1964.0,1978.0,6.0,1.0,1.0,3,3,-8,4,4,4,3,4,3,3,5,70,60,60,60,60.0,50,50,60,60,1,1
3,1968.0,1,0,125,3,5,4,4,2,1,1,4,1,1,1,3,2,4,4,5,1,5,4,4,1,6.0,1,3,5,7,6,4,60000.0,4,1,2,2,1,0,1952.0,1976.0,3.0,1.0,4.0,2,2,2,4,3,5,3,-8,3,3,5,80,80,80,80,85.0,80,70,90,90,4,4
4,1976.0,1,0,115,4,5,5,5,5,1,1,3,1,2,2,5,1,4,4,4,4,5,2,4,2,4.0,2,3,2,2,2,2,50000.0,3,2,1,2,0,0,1960.0,1987.0,3.0,1.0,5.0,3,3,5,4,3,4,2,3,4,-8,4,75,90,75,75,80.0,85,80,80,80,3,2
4,1970.0,1,0,130,4,5,5,1,4,4,1,4,4,1,1,4,1,4,4,4,4,1,2,3,2,2.0,1,4,5,7,5,2,60000.0,2,3,1,2,1,0,1954.0,1978.0,4.0,1.0,1.0,2,2,4,5,4,5,3,4,4,3,5,90,90,90,90,90.0,80,90,90,90,4,4
3,-2.0,1,0,130,2,3,5,1,1,1,1,5,1,1,1,3,5,4,4,5,5,5,2,2,1,5.0,1,4,4,1,7,1,12000.0,3,3,2,2,1,0,1964.0,1990.0,4.0,1.0,1.0,3,1,4,5,5,5,3,3,3,4,4,100,100,80,100,70.0,100,100,100,70,2,5
4,1994.0,1,1,110,3,5,3,1,3,2,1,5,5,3,1,2,4,4,4,3,5,1,3,1,2,7.0,1,4,5,1,5,8,15000.0,3,2,1,2,1,0,1972.0,1999.0,4.0,1.0,1.0,3,3,2,4,4,5,4,4,4,4,4,80,90,90,90,90.0,90,90,90,90,1,4
