happiness,survey_type,province,city,county,gender,birth,nationality,religion,religion_freq,edu,edu_status,edu_yr,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,weekday,year,quarter,hour,month,hour_cut,birth_s,income_cut,properties,insurs,invests
4,1,21,62,98,1,1995,8,1,1,4,4.0,2010.0,20000,-8,60.0,0,0,0,0,0,0,0,0,1,168,126,4,4,4,1,1.0,1,1,1,4,4,3,1,4,4,4,5,4,3,2,4,5,5,1,3,3,2,1.0,1.0,2,3,5,4,-8,3,1,2.0,5.0,1.0,3.0,1,2,2,2,70000.0,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974,4,1,2,1974,4,1,9,2,1,3,2,-2.0,3,3,3,3,4,4,2,4,3,-8,-8,-8,2,5,70,50,60,60,50.0,50,60,70,70,5,2015,3,15,7,4,7,3,64,14,1
3,1,16,47,79,2,1992,1,1,1,4,4.0,2003.0,20000,1,97.0,0,0,0,0,0,1,0,0,0,150,78,3,5,5,2,1.0,2,2,2,4,4,2,1,4,2,5,5,4,4,1,5,5,5,1,4,3,2,1.0,5.0,2,2,1,1,1,1,3,0.0,0.0,0.0,0.0,1,2,2,2,30000.0,7,1,1,2,0,1,0,0,0,0,0,0,0,1,0,1.0,3,2009.0,1988.0,2009.0,4.0,2.0,2.0,10000.0,1.0,-8.0,-8.0,1958,-8,1,-8,1960,6,1,4,3,2,2,-8,20000.0,2,2,2,2,4,2,2,2,2,2,2,2,2,4,20,60,20,20,10.0,20,20,20,20,4,2015,3,17,7,4,7,3,25,14,1
4,2,9,21,43,2,1966,1,0,1,1,5.0,-2.0,15000,1,200.0,0,0,1,0,0,0,0,0,0,152,120,3,3,2,1,1.0,1,1,4,4,1,1,1,5,2,5,5,5,4,1,1,5,5,5,4,3,1,7.0,6.0,1,2,4,2,4,1,3,0.0,0.0,0.0,0.0,1,1,2,2,60000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1990.0,1967.0,1990.0,4.0,1.0,1.0,15000.0,1.0,5.0,1.0,-2,2,1,1,1942,4,1,2,2,1,4,2,60000.0,2,3,3,2,4,-8,1,-8,3,-8,-8,-8,1,3,80,80,80,80,80.0,80,80,80,80,0,2015,3,10,7,2,4,3,4,13,1
4,1,4,7,17,1,1964,1,1,1,3,4.0,1979.0,23000,1,13.0,0,0,0,0,0,0,0,0,1,165,120,3,2,4,1,4.0,2,2,1,5,1,1,1,5,4,3,5,5,4,5,2,4,5,5,2,3,4,7.0,7.0,1,2,1,1,1,1,3,0.0,0.0,0.0,0.0,1,1,2,2,30000.0,1,3,2,2,0,1,0,0,0,0,0,0,0,2,0,0.0,3,1986.0,1963.0,1986.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1936,1,1,1,1936,1,1,2,3,3,4,2,30000.0,2,2,4,2,4,4,2,5,2,2,2,1,1,3,50,50,30,100,20.0,80,80,80,50,0,2015,4,11,10,2,4,3,64,13,1
4,2,31,89,134,2,1957,1,1,1,2,5.0,-2.0,1000,1,50.0,0,1,0,0,0,0,0,0,0,158,98,2,3,2,1,1.0,1,1,1,5,1,1,1,5,4,5,5,4,4,5,1,5,5,5,2,4,2,1.0,6.0,1,4,5,4,3,2,4,0.0,0.0,0.0,0.0,2,2,2,2,6000.0,2,1,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1977.0,1957.0,1977.0,3.0,1.0,1.0,5000.0,4.0,0.0,0.0,-2,1,1,2,-2,1,1,2,3,2,4,2,20000.0,2,3,2,2,2,2,2,-8,3,-8,-8,-8,1,2,-2,80,-2,-2,-2.0,-2,70,-2,-2,3,2015,3,10,8,2,3,1,1,14,1
5,1,17,50,83,1,1994,4,0,4,4,4.0,2010.0,0,1,200.0,0,1,0,0,0,0,0,0,0,175,155,5,5,5,2,1.0,1,1,1,4,4,1,1,4,3,5,5,4,3,2,3,5,5,1,1,4,2,8.0,8.0,1,3,5,5,5,3,1,7.0,4.0,1.0,3.0,1,-8,2,2,50000.0,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,3,2014.0,1994.0,2014.0,4.0,1.0,1.0,0.0,5.0,0.0,0.0,1970,6,4,9,1969,4,1,9,2,3,4,2,100000.0,5,4,4,4,5,5,2,5,4,2,5,5,1,3,90,80,100,80,70.0,100,100,100,90,4,2015,3,10,7,2,7,1,1,4,1
4,1,31,89,134,1,1958,1,1,1,4,4.0,1975.0,0,4,70.0,0,0,0,0,0,0,0,0,1,173,135,1,1,5,1,2.0,1,1,2,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,8.0,8.0,1,3,1,1,-8,1,4,0.0,0.0,0.0,0.0,1,2,2,2,0.0,3,2,-3,2,0,1,0,0,0,0,0,0,0,2,0,2.0,3,1981.0,1961.0,1981.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,-2,2,4,16,-2,1,1,15,3,3,3,-8,20000.0,1,1,5,5,5,5,1,1,1,1,1,1,1,1,50,50,50,60,50.0,50,50,50,50,6,2015,3,15,9,4,3,1,64,14,1
4,1,4,7,16,1,1950,1,1,1,4,4.0,1967.0,24000,4,140.0,0,0,0,1,0,0,0,0,0,175,150,2,1,5,5,3.0,1,1,4,4,1,1,1,5,5,5,5,4,4,5,5,5,5,5,2,5,2,7.0,7.0,1,1,4,4,4,1,5,0.0,0.0,0.0,0.0,1,1,2,2,40000.0,6,3,1,1,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1971.0,1950.0,1971.0,4.0,1.0,5.0,20000.0,5.0,0.0,0.0,-2,-8,1,1,-2,1,1,16,3,2,4,3,36000.0,4,4,4,4,5,5,5,4,3,4,1,5,3,4,100,60,60,60,50.0,50,50,60,60,3,2015,4,19,10,5,2,6,9,13,1
5,1,11,31,54,1,1955,1,1,1,6,4.0,1973.0,14000,1,90.0,0,1,0,0,0,0,0,0,0,179,130,5,4,4,2,1.0,3,3,2,4,3,2,2,5,4,3,4,4,3,2,2,5,5,2,2,3,3,6.0,3.0,2,4,6,5,6,4,1,3.0,20.0,1.0,2.0,1,1,1,1,100000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1975.0,1955.0,1975.0,6.0,1.0,2.0,0.0,5.0,0.0,0.0,1933,3,1,2,1930,3,1,2,1,2,4,2,150000.0,4,-8,-8,-8,5,4,3,4,3,3,-8,4,2,3,60,60,50,50,50.0,60,60,50,70,0,2015,3,15,7,4,3,3,1,0,1
3,2,28,81,122,1,1958,1,1,1,3,4.0,1970.0,12000,1,50.0,0,1,0,0,0,0,0,0,0,170,100,4,4,4,1,1.0,1,1,1,5,1,1,1,5,5,5,5,4,4,4,4,4,5,5,3,5,3,2.0,2.0,2,3,4,4,5,5,3,0.0,0.0,0.0,0.0,1,1,1,1,15000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1978.0,1952.0,1978.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,-2,1,1,2,-2,1,1,2,2,2,3,2,50000.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,80,80,70,80,80.0,90,70,80,80,6,2015,3,16,8,4,3,3,1,0,1
4,1,7,18,40,2,1963,1,1,1,6,4.0,1981.0,24000,1,37.0,0,0,1,0,0,0,0,0,0,160,130,4,4,4,2,1.0,3,3,4,4,1,1,1,4,3,2,5,2,2,2,1,5,5,5,2,4,3,7.0,3.0,1,4,1,1,4,1,5,0.0,0.0,0.0,0.0,1,1,2,2,37200.0,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1986.0,1961.0,1986.0,6.0,1.0,2.0,12000.0,1.0,3.0,1.0,-2,1,1,1,-2,1,1,1,3,2,3,3,50000.0,4,3,-8,-8,4,4,3,3,2,3,-8,-8,1,2,70,60,80,70,60.0,50,60,79,80,4,2015,3,10,7,2,4,6,4,13,1
4,1,13,36,67,2,1974,1,1,1,4,4.0,1989.0,0,1,200.0,0,0,0,0,1,0,0,0,0,150,90,3,5,3,2,2.0,3,3,1,4,4,1,2,4,3,2,5,4,3,2,5,5,5,1,3,3,3,6.0,6.0,1,4,5,2,-8,1,5,0.0,0.0,0.0,0.0,2,2,2,2,-2.0,2,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0.0,3,-2.0,1969.0,-2.0,4.0,1.0,2.0,-2.0,5.0,0.0,0.0,-2,7,1,1,1952,4,1,-8,3,3,4,-8,24000.0,4,4,5,4,5,-8,2,4,4,3,-8,-8,4,3,90,-2,80,90,80.0,70,90,70,80,1,2015,3,19,9,5,5,1,16,14,1
4,1,16,44,75,2,1984,1,0,4,4,4.0,-2.0,30000,1,80.0,0,0,0,0,0,0,0,0,1,158,100,4,4,4,1,2.0,1,2,1,5,5,5,1,4,3,5,3,4,4,3,4,5,4,1,2,4,1,6.0,6.0,3,2,3,3,5,3,1,3.0,13.0,1.0,3.0,2,1,2,2,80000.0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1.0,3,2009.0,1987.0,2009.0,3.0,1.0,1.0,50000.0,1.0,3.0,1.0,-2,3,1,2,-2,1,1,2,2,1,4,3,100000.0,4,4,4,4,4,3,2,4,3,3,-8,3,2,3,50,50,70,60,50.0,60,50,60,60,3,2015,3,14,7,4,6,4,64,13,1
4,2,2,5,12,1,1951,8,1,1,3,2.0,-2.0,3000,1,100.0,0,1,0,0,0,0,0,0,0,160,130,4,4,5,1,1.0,1,1,1,4,1,1,1,5,2,5,5,2,2,5,1,5,2,5,2,3,1,2.0,2.0,1,4,3,2,4,2,3,0.0,0.0,0.0,0.0,1,1,2,2,20000.0,5,2,1,2,0,1,0,0,0,0,0,0,0,3,1,0.0,3,1972.0,1949.0,1972.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1929,1,1,2,1930,1,1,2,3,1,5,3,10000.0,4,3,3,3,4,-8,2,-8,-8,-8,-8,-8,2,4,90,80,-2,-2,-2.0,80,80,-2,-2,5,2015,3,9,8,2,3,2,1,13,1
4,1,21,64,100,2,1965,1,1,1,4,4.0,1980.0,15000,1,140.0,0,1,1,0,0,0,0,0,0,165,128,4,4,3,5,2.0,2,2,2,5,2,2,1,4,2,4,4,4,3,2,3,5,3,4,4,4,2,6.0,3.0,2,2,4,4,6,4,5,0.0,0.0,0.0,0.0,1,1,2,2,30000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0.0,3,1999.0,1962.0,1999.0,6.0,1.0,5.0,15000.0,1.0,3.0,1.0,-2,2,1,1,1945,2,1,5,3,2,4,3,30000.0,4,4,-8,-8,5,5,4,4,3,3,-8,4,3,3,80,70,65,70,65.0,65,70,70,75,2,2015,3,11,7,2,4,3,5,13,1
4,2,31,89,134,1,1949,1,1,1,1,5.0,-2.0,3000,1,90.0,0,1,0,1,0,0,0,0,0,168,90,2,5,5,1,1.0,1,1,3,2,1,1,1,5,3,5,5,4,1,1,5,5,5,5,3,4,1,1.0,1.0,1,5,-8,-8,-8,-8,4,0.0,0.0,0.0,0.0,2,2,2,2,-2.0,1,2,1,2,0,1,0,0,0,0,0,0,0,1,2,0.0,7,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1,1,2,-2,1,1,2,3,2,3,3,-3.0,5,3,4,4,-8,4,1,-8,4,4,-8,4,1,3,100,-2,-2,100,-2.0,100,0,100,100,2,2015,3,10,8,2,2,2,10,14,1
4,1,19,59,95,1,1949,1,1,1,4,4.0,1965.0,60000,4,130.0,0,1,0,0,0,0,0,0,0,173,150,4,5,5,4,2.0,4,1,1,5,1,1,1,5,5,2,5,4,4,5,2,5,5,5,3,4,4,6.0,3.0,1,3,4,5,4,1,5,0.0,0.0,0.0,0.0,1,1,2,2,100000.0,2,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0.0,3,1977.0,1951.0,1977.0,4.0,1.0,5.0,36000.0,5.0,0.0,0.0,1925,1,1,2,1925,1,1,2,2,2,3,2,-2.0,4,4,4,4,4,4,4,4,4,4,-8,4,1,4,100,100,80,90,90.0,80,90,80,60,6,2015,3,14,7,4,2,5,1,13,4
2,1,16,45,76,2,1940,1,0,6,1,5.0,-2.0,2400,1,120.0,0,0,0,1,0,0,0,0,0,150,130,2,3,3,2,2.0,1,1,1,3,1,1,2,5,3,5,5,4,4,5,5,5,5,5,3,4,1,2.0,7.0,1,2,4,4,-8,4,1,5.0,-2.0,1.0,3.0,1,1,2,2,30000.0,4,2,1,2,0,1,0,0,0,0,0,0,0,2,1,0.0,3,-2.0,1939.0,-2.0,1.0,1.0,2.0,2400.0,1.0,5.0,1.0,-2,1,1,2,-2,1,1,2,3,2,3,3,50000.0,2,2,2,2,2,2,2,2,2,-8,-8,-8,1,3,20,0,20,20,30.0,30,20,20,10,5,2015,3,14,7,4,1,2,9,13,1
4,2,19,57,92,2,1978,1,1,1,4,4.0,1994.0,50000,1,70.0,0,0,0,0,0,1,0,0,0,160,110,4,5,5,1,1.0,3,3,1,5,4,4,1,5,3,3,5,3,3,2,4,5,2,1,4,5,2,1.0,3.0,4,4,4,5,6,7,1,3.0,20.0,1.0,2.0,1,1,1,2,100000.0,6,3,1,2,0,0,1,0,0,0,0,0,0,1,1,2.0,3,2001.0,1976.0,2001.0,6.0,1.0,1.0,40000.0,1.0,8.0,1.0,1953,3,1,9,1954,3,1,2,3,2,5,2,100000.0,3,3,3,3,4,4,3,4,3,4,2,4,1,5,90,90,85,80,80.0,90,90,90,90,1,2015,3,15,7,4,5,5,25,9,4
