happiness,survey_type,province,city,county,gender,nationality,religion,edu,edu_yr,income,political,floor_area,property_0,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_type,insur_1,insur_2,family_income,family_m,family_status,house,car,invest_1,invest_2,invest_3,invest_4,invest_5,invest_8,daughter,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_work_14,m_birth,m_edu,m_work_14,status_peer,status_3_before,view,inc_ability,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,quarter,hour,month,hour_cut,income_cut
2,1,4,7,14,2,1,1,3,-2.0,40000,1,56.0,0,0,0,0,0,0,0,0,156,115,1,1,1,5,1.0,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,1,2,1,8.0,8.0,1,3,1,7,1,4,0.0,1,1,90000.0,2,3,1,2,1,0,0,0,0,0,4,3,1957.0,1940.0,1957.0,4.0,4.0,5.0,50000.0,5.0,0.0,0.0,1916,1,2,1917,1,2,2,3,3,2,2,2,4,4,4,4,4,4,4,4,5,2,3,80,70,70,65,70.0,60,80,80,70,4,16,10,4,5
4,2,15,41,72,2,1,0,1,-2.0,1000,1,40.0,0,1,0,0,0,0,0,0,136,65,1,-8,-8,1,1.0,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,3,1,1,5.0,3.0,1,5,2,1,3,-8,0.0,1,-1,30000.0,4,3,1,2,1,0,0,0,0,0,1,3,1960.0,1936.0,1960.0,1.0,1.0,1.0,9000.0,4.0,0.0,0.0,-2,-8,2,-2,-8,2,3,2,3,2,4,2,2,3,3,3,3,3,3,3,-8,2,5,-2,80,70,-2,-2.0,-2,80,-2,80,3,15,7,4,1
4,2,29,82,124,1,1,1,4,1998.0,45000,1,120.0,0,0,0,1,0,0,0,0,185,185,4,5,3,1,1.0,2,2,2,5,5,1,2,4,4,4,5,5,5,1,5,5,1,3,4,1,5.0,7.0,1,4,6,3,-8,5,1.0,1,1,50000.0,5,3,1,2,1,0,0,0,0,0,0,3,2013.0,1987.0,2013.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1945,1,2,1945,3,15,2,1,5,2,4,2,2,2,4,4,2,4,2,2,2,2,5,100,100,100,100,60.0,100,100,60,-2,3,14,7,4,5
4,1,6,16,32,2,1,0,4,1989.0,0,2,63.0,0,1,0,0,0,0,0,0,162,120,2,3,3,1,3.0,2,2,2,4,4,3,1,3,4,4,4,3,4,2,4,5,2,2,4,2,6.0,3.0,1,2,5,4,6,3,0.0,1,2,36000.0,3,3,1,2,1,0,0,0,0,0,0,3,2000.0,1977.0,2000.0,5.0,1.0,2.0,36000.0,1.0,3.0,1.0,1932,-8,2,-2,1,2,2,2,3,2,3,3,3,3,5,4,2,3,3,3,3,1,2,80,70,70,80,70.0,60,70,80,80,3,10,8,2,1
4,2,31,87,131,2,1,0,6,1979.0,0,1,90.0,0,1,0,0,0,0,0,0,155,90,2,2,3,1,1.0,2,2,3,5,1,1,1,5,3,4,4,3,3,5,4,5,5,3,4,2,1.0,2.0,2,2,1,1,1,1,0.0,1,1,20000.0,1,3,1,2,1,0,0,0,0,0,2,3,1985.0,1960.0,1985.0,4.0,1.0,1.0,20000.0,3.0,0.0,0.0,1922,4,2,1922,3,2,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,1,5,50,50,50,50,50.0,50,30,40,50,3,9,8,2,1
4,1,4,7,16,1,1,1,7,1998.0,100000,1,77.0,0,0,0,0,0,0,0,0,170,135,5,5,5,4,3.0,4,4,4,4,4,4,2,3,2,3,3,3,2,2,3,3,2,3,3,3,4.0,4.0,4,4,6,6,5,4,1.0,1,1,200000.0,5,3,1,1,0,1,0,0,0,0,0,3,2006.0,1980.0,2006.0,7.0,1.0,5.0,50000.0,1.0,3.0,1.0,1945,4,1,1945,1,2,2,2,3,2,4,3,3,4,3,3,4,4,3,3,4,4,4,80,70,70,70,70.0,70,70,70,70,4,10,10,2,5
5,1,4,7,22,1,1,1,4,1981.0,100000,4,91.0,0,1,0,0,0,0,0,0,175,160,5,5,5,2,1.0,4,2,5,4,4,4,1,4,3,1,4,3,3,1,1,5,1,4,4,4,5.0,3.0,3,4,6,5,6,3,1.0,1,1,100000.0,4,3,2,1,1,0,0,0,0,0,1,3,1986.0,1963.0,1986.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,1939,3,1,1944,4,2,2,1,3,2,4,4,5,5,5,5,4,5,4,4,5,1,5,60,50,40,50,50.0,80,80,80,80,3,9,9,2,5
4,1,27,79,119,1,3,1,4,1967.0,25000,1,71.0,0,1,0,0,0,0,0,0,165,130,2,2,3,2,1.0,2,2,2,5,1,1,1,4,4,4,5,5,5,2,1,5,5,3,4,1,1.0,5.0,1,2,3,3,3,3,0.0,1,1,80000.0,5,2,1,2,1,0,0,0,0,0,0,3,1976.0,1953.0,1976.0,4.0,1.0,2.0,20000.0,5.0,0.0,0.0,1929,2,1,1929,2,1,2,2,5,2,2,1,-8,-8,5,4,2,3,2,5,-8,1,4,50,50,60,50,60.0,60,50,50,50,3,9,7,2,4
5,2,9,21,43,2,1,1,1,-2.0,2000,1,100.0,0,1,0,0,0,0,0,0,160,120,1,2,2,1,1.0,1,1,1,4,1,1,1,5,3,5,5,3,5,5,5,5,5,2,3,1,3.0,7.0,2,4,1,1,4,1,0.0,1,1,20000.0,6,3,1,1,1,0,0,0,0,0,3,3,1970.0,1949.0,1970.0,3.0,1.0,1.0,4000.0,3.0,0.0,0.0,-2,1,2,-2,1,2,3,3,4,2,4,4,4,4,4,-8,4,-8,4,-8,-8,3,5,100,100,100,100,100.0,100,100,100,100,3,8,7,2,2
4,1,21,62,98,2,1,1,3,1992.0,5000,1,220.0,0,0,0,0,1,0,0,0,154,90,4,4,3,1,2.0,1,1,1,2,1,1,2,5,2,5,5,3,3,4,5,5,5,4,3,1,1.0,2.0,1,4,5,4,6,1,0.0,1,1,40000.0,5,2,1,2,1,0,0,0,0,0,1,3,2003.0,1982.0,2003.0,4.0,1.0,1.0,30000.0,3.0,0.0,0.0,1952,3,2,1963,1,15,2,2,4,3,5,4,4,4,4,4,3,5,5,3,-8,1,3,60,70,50,50,60.0,40,60,40,70,3,10,7,2,2
4,1,12,32,58,1,1,1,6,1979.0,-1,1,63.0,0,0,0,0,0,0,0,0,165,65,4,5,5,2,1.0,2,2,4,4,4,1,1,4,4,1,3,3,2,4,5,5,1,2,4,4,6.0,2.0,3,1,4,4,6,2,0.0,1,1,90000.0,3,3,1,2,1,0,0,0,0,0,1,3,1960.0,1938.0,1960.0,6.0,4.0,5.0,50000.0,1.0,3.0,1.0,1918,3,1,-2,-8,5,2,2,4,-8,2,2,3,3,5,3,2,2,2,-8,-8,1,2,80,80,60,80,60.0,50,80,60,90,3,19,9,5,0
4,1,26,76,116,2,1,1,4,1984.0,20000,1,80.0,0,0,0,0,0,0,0,0,156,100,4,4,4,2,1.0,2,1,2,3,2,1,2,3,2,2,3,3,3,3,5,3,2,3,3,3,2.0,2.0,2,4,3,3,3,2,1.0,1,2,60000.0,2,2,1,2,1,0,0,0,0,0,0,3,1993.0,1967.0,1993.0,4.0,1.0,2.0,30000.0,1.0,2.0,1.0,1950,3,2,1953,3,2,2,2,3,2,4,4,4,4,4,3,4,4,5,4,4,4,2,85,85,89,89,89.0,89,89,89,89,4,17,10,4,3
5,1,17,48,80,2,1,1,4,1984.0,19200,1,117.0,0,1,0,0,0,0,0,0,161,126,4,5,3,1,2.0,3,3,1,5,1,1,1,5,1,2,2,3,3,2,2,5,5,3,4,2,2.0,3.0,1,4,6,8,4,3,0.0,1,1,100000.0,1,3,2,2,0,0,1,0,0,0,2,3,1988.0,1968.0,1968.0,6.0,1.0,1.0,100000.0,1.0,2.0,1.0,1934,12,1,1937,1,2,2,2,4,2,4,4,3,3,3,3,2,3,3,3,1,5,3,80,67,-2,40,30.0,40,-2,60,-2,3,10,7,2,3
4,1,31,88,133,2,1,1,4,1979.0,10000,1,79.0,0,0,0,0,0,0,0,0,158,140,3,3,3,2,1.0,3,3,1,4,3,3,1,5,3,4,4,3,4,2,4,4,3,3,3,1,5.0,5.0,6,4,5,3,5,3,0.0,1,2,20000.0,2,2,1,2,1,0,0,0,0,0,0,3,1985.0,1962.0,1985.0,5.0,4.0,2.0,10000.0,1.0,5.0,1.0,1938,7,1,1943,3,1,3,1,4,2,3,3,3,3,4,4,3,3,3,3,3,2,3,80,80,80,80,80.0,80,80,80,80,3,20,8,5,2
3,1,4,7,19,1,1,1,10,2013.0,40000,2,140.0,0,0,0,0,0,0,0,1,183,135,4,4,3,1,3.0,1,2,3,3,5,5,4,3,4,3,4,4,2,1,2,4,2,4,4,4,7.0,2.0,6,2,4,1,7,3,2.0,1,2,40000.0,1,2,0,2,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970,5,9,1971,3,5,2,1,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,60,40,40,40,50.0,40,60,80,70,4,18,10,5,5
5,2,18,53,87,1,1,1,1,-2.0,3000,1,80.0,0,0,1,0,0,0,0,0,168,110,2,2,3,1,1.0,1,1,3,1,1,1,3,5,3,5,5,5,4,5,5,5,5,4,4,1,2.0,2.0,3,4,4,3,6,3,0.0,1,1,40000.0,2,2,1,2,1,0,0,0,0,0,1,3,1976.0,1954.0,1976.0,1.0,1.0,1.0,1000.0,3.0,0.0,0.0,1920,1,2,1922,1,2,3,1,4,2,5,4,4,4,5,4,4,-8,3,3,3,2,5,80,79,89,78,80.0,68,80,80,79,3,15,7,4,2
4,1,4,7,21,1,1,1,11,-2.0,80000,1,57.0,0,0,0,1,0,0,0,0,171,146,4,4,3,2,1.0,1,1,2,5,5,1,1,4,1,5,5,4,3,2,4,5,1,2,3,3,6.0,6.0,2,4,6,4,8,-8,1.0,1,1,170000.0,2,3,1,1,0,1,0,0,0,0,0,3,2012.0,1987.0,2012.0,10.0,1.0,2.0,110000.0,1.0,2.0,1.0,1941,4,1,1948,4,1,2,1,3,3,4,3,-8,-8,4,3,3,5,3,3,3,3,4,50,60,50,60,50.0,60,50,60,70,3,15,9,4,5
4,1,27,80,120,2,1,1,4,1980.0,20000,1,90.0,0,1,0,0,0,0,0,0,175,100,4,4,4,2,3.0,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,5,5,2,2,2,3.0,4.0,2,4,5,3,7,3,1.0,2,2,40000.0,2,4,1,2,1,0,0,0,0,0,0,3,1984.0,1963.0,1984.0,4.0,1.0,2.0,20000.0,1.0,6.0,1.0,1942,4,2,1939,4,15,2,1,4,2,4,3,4,3,5,3,3,3,2,-8,3,1,3,60,60,70,70,60.0,70,60,70,60,3,12,7,3,3
4,1,4,7,20,1,1,1,12,1958.0,100000,1,70.0,0,0,0,0,0,0,0,0,170,120,2,2,2,2,1.0,2,2,1,2,1,1,1,5,4,4,5,4,4,5,4,5,5,1,5,1,8.0,8.0,1,4,10,10,10,5,0.0,2,1,150000.0,3,4,1,2,0,0,1,0,0,0,3,3,1947.0,1928.0,1947.0,3.0,1.0,2.0,30000.0,5.0,0.0,0.0,-2,3,2,-2,1,2,1,2,3,2,4,4,4,4,4,4,4,4,4,4,4,3,5,90,85,70,70,70.0,80,80,85,90,4,10,10,2,5
4,2,9,21,43,2,1,0,1,-2.0,660,4,40.0,0,1,0,0,0,0,0,0,150,80,2,3,3,1,1.0,1,1,4,1,1,1,4,5,5,5,5,4,4,1,4,5,5,2,3,1,7.0,7.0,1,4,4,5,-8,3,0.0,1,1,10000.0,2,2,1,2,1,0,0,0,0,0,1,3,1963.0,1941.0,1963.0,4.0,1.0,1.0,10000.0,3.0,0.0,0.0,-2,2,2,-2,1,2,3,2,3,2,4,4,4,4,4,3,3,-8,4,-8,-8,2,5,70,80,80,80,80.0,80,70,80,80,3,9,7,2,1
4,1,15,39,70,1,1,1,4,1972.0,20000,1,25.0,0,0,0,0,0,0,0,1,172,150,4,3,3,1,3.0,2,2,2,5,1,1,4,3,4,5,5,4,4,4,5,4,5,3,4,1,2.0,5.0,6,4,2,2,3,-8,1.0,1,1,30000.0,1,3,1,2,1,0,0,0,0,0,1,3,1982.0,1957.0,1982.0,4.0,1.0,1.0,10000.0,3.0,0.0,0.0,-2,2,-8,-2,1,-8,2,2,3,-8,5,4,4,4,4,3,3,5,4,4,-8,4,3,40,20,20,50,0.0,30,40,60,30,3,19,7,5,3
4,1,5,8,23,2,1,-8,-8,-3.0,60000,1,70.0,0,1,0,0,0,0,0,0,165,105,5,4,4,2,1.0,3,3,4,3,3,4,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3.0,3.0,2,2,6,5,6,3,1.0,1,1,80000.0,2,4,1,2,0,0,0,0,0,0,1,3,1993.0,1961.0,1993.0,9.0,1.0,2.0,80000.0,1.0,3.0,1.0,-2,3,2,-2,3,2,2,2,4,2,4,4,4,3,4,4,3,3,4,4,4,4,4,80,88,80,80,80.0,70,70,80,98,3,11,7,2,5
5,1,27,77,117,2,1,1,10,1991.0,-3,1,180.0,0,1,0,0,0,0,0,0,160,120,4,5,5,5,2.0,1,1,1,2,4,1,4,3,3,4,4,2,2,1,1,5,1,4,4,3,2.0,2.0,2,4,8,5,8,3,0.0,2,2,-3.0,4,3,1,1,1,0,0,0,0,0,1,3,1996.0,1972.0,1996.0,3.0,1.0,1.0,-3.0,4.0,0.0,0.0,-2,4,16,-2,4,2,2,1,4,2,4,5,4,4,5,5,5,3,2,3,4,1,2,80,80,90,80,70.0,80,80,90,60,3,16,7,4,0
4,1,28,81,123,2,1,1,3,-2.0,15000,1,180.0,0,1,1,0,0,0,0,0,160,105,5,4,4,5,1.0,4,3,2,5,1,4,2,5,3,2,5,3,3,3,4,5,5,2,4,4,2.0,5.0,2,4,4,1,2,1,1.0,1,1,35000.0,2,3,1,2,1,0,0,0,0,0,2,3,1981.0,1957.0,1981.0,6.0,1.0,4.0,20000.0,1.0,3.0,1.0,-2,-8,2,-2,-8,2,2,1,4,2,4,4,4,4,5,5,4,4,4,4,4,2,4,80,80,80,80,70.0,80,80,80,80,3,10,7,2,3
4,2,2,2,9,2,8,0,4,1989.0,12000,1,300.0,0,1,0,0,0,0,0,0,169,120,4,3,3,1,1.0,3,3,2,4,2,2,1,5,3,4,4,3,3,3,3,2,5,3,3,3,3.0,3.0,1,4,6,6,6,6,1.0,1,1,35000.0,4,3,1,2,1,0,0,0,0,0,1,3,1993.0,1968.0,1993.0,6.0,1.0,2.0,10000.0,1.0,3.0,1.0,-2,1,16,-2,1,2,2,2,3,2,5,5,5,5,5,5,5,5,5,5,4,1,5,70,70,70,70,70.0,70,70,70,70,3,16,7,4,3
4,2,24,70,110,1,1,1,4,1978.0,10000,1,15.0,0,0,0,0,0,0,0,0,160,122,3,3,3,1,1.0,1,3,1,5,1,4,1,5,3,4,4,4,5,2,5,5,5,3,3,2,3.0,7.0,4,4,4,2,5,1,0.0,1,2,10000.0,2,2,1,2,1,0,0,0,0,0,1,7,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928,3,2,1930,1,2,2,3,3,2,3,2,4,3,4,4,2,2,4,3,4,1,5,85,90,70,70,70.0,70,85,90,90,3,9,8,2,2
4,2,10,28,51,2,1,1,4,1985.0,20000,1,90.0,0,0,0,0,0,0,0,0,162,115,3,3,4,1,1.0,2,2,1,5,3,1,1,5,2,3,5,4,2,5,5,5,3,4,5,1,2.0,2.0,2,4,4,3,4,3,0.0,1,2,30000.0,4,2,1,2,1,0,0,0,0,0,0,3,1994.0,1969.0,1994.0,6.0,1.0,1.0,10000.0,1.0,3.0,2.0,1922,2,1,1931,1,2,2,2,4,2,4,4,3,3,4,3,2,4,2,-8,-8,2,4,70,60,70,70,80.0,50,70,70,70,3,12,7,3,3
5,1,4,7,21,2,1,1,4,-2.0,10000,1,56.0,0,1,0,0,0,0,0,0,159,115,3,5,5,2,1.0,1,1,3,5,3,1,1,5,3,5,3,3,3,2,1,5,2,1,5,1,8.0,8.0,1,1,5,5,7,5,1.0,1,2,20000.0,4,2,1,2,1,0,0,0,0,0,1,3,-2.0,1984.0,-2.0,6.0,1.0,2.0,0.0,5.0,0.0,0.0,-2,3,11,1958,4,1,2,1,3,2,3,3,3,3,3,3,3,4,2,3,4,2,4,100,60,100,100,100.0,100,100,100,100,3,19,9,5,2
5,1,29,82,125,2,1,1,6,2015.0,0,2,126.0,0,0,0,1,0,0,0,0,160,112,5,5,5,1,2.0,1,2,2,4,5,1,1,3,2,4,4,4,3,1,2,3,1,4,4,3,3.0,3.0,1,1,4,4,9,7,0.0,2,2,60000.0,4,3,1,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975,3,8,1978,3,15,2,2,2,-8,3,3,4,4,4,-8,2,3,3,3,3,2,2,80,80,60,70,60.0,80,80,90,90,3,19,7,5,1
4,1,11,31,54,2,1,1,12,2012.0,3000,2,200.0,0,0,0,1,0,0,0,0,167,120,4,3,3,2,1.0,3,3,2,4,5,2,1,4,3,2,4,4,4,1,2,5,1,3,3,4,5.0,5.0,6,3,3,2,5,3,0.0,1,1,70000.0,4,3,1,2,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969,12,1,1970,6,15,2,2,3,-8,4,3,3,3,5,4,1,4,3,3,4,1,4,70,70,65,65,50.0,80,80,75,80,3,16,7,4,2
4,2,17,50,83,1,1,1,4,2009.0,55000,2,200.0,0,0,0,1,0,0,0,0,170,125,5,5,4,1,1.0,2,2,1,3,5,4,1,4,3,4,4,4,2,4,3,5,1,3,3,4,6.0,6.0,1,4,3,2,9,2,2.0,1,2,80000.0,3,2,1,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,4,12,1972,3,12,3,1,2,2,4,2,4,4,4,4,2,3,2,4,3,1,2,90,80,70,50,70.0,80,60,70,70,3,9,7,2,5
4,2,5,8,24,2,1,1,1,-2.0,5000,1,65.0,0,1,0,0,0,0,0,0,160,125,4,4,4,1,1.0,1,1,1,5,1,1,1,5,4,5,5,3,3,5,3,3,5,4,4,2,1.0,2.0,3,4,5,5,5,6,0.0,1,1,10000.0,3,3,1,2,1,0,0,0,0,0,0,3,1978.0,1955.0,1978.0,1.0,1.0,1.0,5000.0,2.0,0.0,0.0,1933,1,2,1935,1,15,2,2,3,2,5,5,5,5,5,4,5,4,4,3,3,3,5,100,100,100,90,90.0,80,80,95,100,3,9,8,2,2
